time,x_d,y_d,z_d,x,y,z,vx_cmd,vy_cmd,vz_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qref1,qref2,qref3,qref4,qref5,qref6,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,mode,perturbation
2.7007,0.15,0.2,0.3,0.2807483485244375,0.12855776275796363,0.31123071560079596,0.0,0.0,0.0,0.44269534945487976,0.34071823954582214,1.3025875091552734,-0.08551942557096481,0.8770854473114014,1.2480851411819458,-3.568573894281805e-16,5.1863276788965094e-15,2.2838873346920025e-15,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.44422591900978003,0.33995668546786084,1.3015366986446852,-0.08524928785392095,0.8770639561949408,1.247071936580833,0.07012332660885316,-0.027246871038401833,-0.03232228666587285,0.0069535574876396986,-0.0004992706039809152,-0.021504302876915973,CTC,1
2.8008,0.15,0.2,0.3,0.2807481033194539,0.12855829824270848,0.31123071560079596,0.0,0.0,0.0,0.4427068531513214,0.34071630239486694,1.302585482597351,-0.08551942557096481,0.8770854473114014,1.2480851411819458,0.00020544385188259184,-3.4240641980431974e-05,-3.4240641980431974e-05,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.4487773049724594,0.3376920863000823,1.298411950610847,-0.08444599145395841,0.8770000490268755,1.2440590155514921,0.12432943955983006,-0.04393299026189168,-0.048229038976642345,0.009207821326569648,-0.0006057673501701479,-0.023777728352551316,CTC,1
2.9008,0.15,0.2,0.3,0.2804630355827481,0.12896550518776945,0.3112344893912139,0.0,0.0,0.0,0.4448870122432709,0.34009313583374023,1.3018338680267334,-0.08551942557096481,0.8770854473114014,1.2480851411819458,0.030885059386491776,-0.009929786436259747,-0.011915743350982666,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.45613004296827103,0.33403363929454505,1.293363938030913,-0.0831482707134334,0.8768968073623161,1.2391916588578462,0.18016456201415917,-0.06700733260463587,-0.07417046355671558,0.012374583227032292,-0.000768236133397118,-0.02806302193630518,CTC,1
3.0007,0.15,0.2,0.3,0.279707939945223,0.12992045146115053,0.3112985569139142,0.0,0.0,0.0,0.4487488269805908,0.3386971950531006,1.3002979755401611,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.03756198659539223,-0.012600556015968323,-0.014586513862013817,-1.4036391550814272e-15,-6.978544574959386e-16,0.0034240642562508583,0.46606495848842305,0.32909039747691604,1.286543134875017,-0.08139480881485779,0.8767573086862935,1.2326149553787662,0.23923900266653098,-0.0885940723332316,-0.09695718568411221,0.016376592415082623,-0.000982065179100274,-0.0310558913309283,CTC,1
3.1007,0.15,0.2,0.3,0.27882887958171804,0.13105713175532924,0.3113570546537849,0.0,0.0,0.0,0.45357704162597656,0.33704817295074463,1.2984437942504883,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.057592760771512985,-0.01968836970627308,-0.02211945503950119,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.47837712934270926,0.3229643224530019,1.2780902302027524,-0.07922177347923234,0.8765844303634076,1.2244645592603327,0.3046376117954537,-0.11502724780772716,-0.12601421915493222,0.021142010523421427,-0.0012429428253269191,-0.04225103171847522,CTC,1
3.2007,0.15,0.2,0.3,0.27741833514106823,0.1328336101614357,0.31149155598814615,0.0,0.0,0.0,0.46099573373794556,0.334317684173584,1.2955368757247925,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.07128901779651642,-0.025303835049271584,-0.02814580872654915,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.4928377033484377,0.31576928249649283,1.2681623421785138,-0.07666955594913402,0.8763813857653702,1.2148919657963961,0.3652202034492282,-0.1401758130925524,-0.1548403834150019,0.026589593845893413,-0.0015460474146368967,-0.05162715490613797,CTC,1
3.3007,0.15,0.2,0.3,0.27590063943800985,0.13466285069185152,0.31156067203059745,0.0,0.0,0.0,0.46924281120300293,0.33131107687950134,1.292083501815796,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.09197036921977997,-0.034514568746089935,-0.038965851068496704,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.5092489759343479,0.30760364799636786,1.25689520461512,-0.07377305007264603,0.8761509509123574,1.2040280512222907,0.43039492904872817,-0.16890072682503138,-0.1883324161469671,0.03264995973258913,-0.001887212860330141,-0.062394490129481665,CTC,1
3.4013,0.15,0.2,0.3,0.27368640831249713,0.1372640273219035,0.3117719070043823,0.0,0.0,0.0,0.47996532917022705,0.3271501660346985,1.287613868713379,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.10652264207601547,-0.041020289063453674,-0.044889483600854874,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.5275005762740423,0.29852233534153727,1.2443645924579634,-0.07055173573748454,0.8758946755492185,1.191945878685507,0.48968260756466925,-0.19496668807927942,-0.21905271609647717,0.039284824805155466,-0.002264060340057016,-0.07446603843432445,CTC,1
3.5008,0.15,0.2,0.3,0.2713593104736048,0.13988051539440616,0.31190767966471966,0.0,0.0,0.0,0.49164852499961853,0.322527140378952,1.2824348211288452,-0.08551942557096481,0.8770854473114014,1.2482768297195435,0.1283339262008667,-0.05249090492725372,-0.057592760771512985,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.5470536865055896,0.2887934401168887,1.2309404303999776,-0.0671007115470803,0.8756201253546152,1.1790021341890582,0.5487150471107884,-0.22307855105319624,-0.25377140956131305,0.046301303314471916,-0.0026653936198721096,-0.0874704353942445,CTC,1
3.6009,0.15,0.2,0.3,0.2682810291958431,0.14322111149157127,0.31212021475966223,0.0,0.0,0.0,0.505822479724884,0.31690508127212524,1.2761435508728027,-0.08551942557096481,0.8770854473114014,1.2484686374664307,0.13850340247154236,-0.05594921112060547,-0.06166739761829376,-1.4036391550814272e-15,-6.978544574959386e-16,0.0034240642562508583,0.5680264698437762,0.2783581687329393,1.2165415936417925,-0.0633991222969254,0.8753256411687909,1.1651185961895187,0.5992442203958436,-0.2461921390554701,-0.2823243005220078,0.0537436653600508,-0.0030935382916405262,-0.09832760479590308,CTC,1
3.7007,0.15,0.2,0.3,0.2654048911731523,0.14618452802550053,0.31225359504121963,0.0,0.0,0.0,0.5195247530937195,0.3113003075122833,1.269650936126709,-0.08551942557096481,0.8770854473114014,1.2484686374664307,0.1468581110239029,-0.06033201143145561,-0.07091236859560013,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.590011290653792,0.26741934541222656,1.2014479438912138,-0.059518913596692286,0.8750169467073865,1.1505651108362815,0.6564959589309995,-0.2711094841919707,-0.31486398390473036,0.061467278936257676,-0.0035400232555029233,-0.11639742491791864,CTC,1
3.8008,0.15,0.2,0.3,0.26158548628432887,0.14998000084720242,0.3124635227118243,0.0,0.0,0.0,0.5365596413612366,0.3042459189891815,1.2617106437683105,-0.08551942557096481,0.8770854473114014,1.2484686374664307,0.16267728805541992,-0.06769374758005142,-0.07574030011892319,-1.4036391550814272e-15,-6.978544574959386e-16,1.3639882722710325e-15,0.6129079761024354,0.25602681240424574,1.1857282546748453,-0.05547776544033102,0.8746954485226346,1.1354079904215133,0.6970867410338276,-0.2925960473465835,-0.34169990449813986,0.06943670118228652,-0.004002655280194713,-0.1317443628158413,CTC,1
