time,x_d,y_d,z_d,x,y,z,vx_cmd,vy_cmd,vz_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qref1,qref2,qref3,qref4,qref5,qref6,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,mode,perturbation
1.6007,0.15,0.2,0.3,0.228143739163421,0.219377542151681,0.30081783993368,-0.22,-0.16470910828929,-0.00368027970155979,0.770399689674377,0.420140087604523,1.36437237262726,-0.0285703931003809,0.953145325183868,0.784631192684174,4.75809852570907E-16,2.30767794908153E-15,-1.68119491123772E-15,1.73174964917812E-15,2.06184270329719E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
1.7007,0.15,0.2,0.3,0.227836848680974,0.21909490953073,0.300809171606183,-0.22,-0.0654190202527994,-0.0028234322941445,0.770434200763702,0.41831848025322,1.36188161373138,-0.0285703931003809,0.953145325183868,0.784631192684174,0.000616331584751606,-0.0325286090373993,-0.0444785952568054,1.73174964917812E-15,2.06184270329719E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
1.8007,0.15,0.2,0.3,0.221601394919426,0.215124975097529,0.300898708621257,-0.21942761341025,-0.0330877406753448,-0.00323501718947286,0.775327563285828,0.383021593093872,1.31523513793945,-0.029145635664463,0.941880166530609,0.787315666675568,0.0728640854358673,-0.422529518604279,-0.548808991909027,-0.0273925140500069,-0.148376122117043,0.0479369014501572,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
1.9007,0.15,0.2,0.3,0.215014777085803,0.213616702749883,0.300703074119881,-0.194618630632194,-0.0401170978863617,-0.00226512491820993,0.787114322185516,0.3558030128479,1.27877819538116,-0.0301043726503849,0.933571100234985,0.799587488174439,0.118678070604801,-0.198458760976791,-0.268069982528687,-0.0205443855375051,-0.0756147503852844,0.123266316950321,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.0007,0.15,0.2,0.3,0.209517564002165,0.213099173084914,0.300573862564844,-0.180825408589394,-0.0432594574723547,-0.00187930742191442,0.798640251159668,0.335552543401718,1.25210797786713,-0.0285703931003809,0.926939845085144,0.8095583319664,0.112446270883083,-0.222940817475319,-0.279780298471451,1.72976716856507E-15,-0.0713346749544144,0.0992978662252426,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.1007,0.15,0.2,0.3,0.204058893157014,0.211715677307338,0.300556649618972,-0.161912771823788,-0.0340873916878013,-0.00193106072053073,0.808639883995056,0.313041388988495,1.22336506843567,-0.0285703931003809,0.922146141529083,0.81742000579834,0.0921758115291595,-0.214380666613579,-0.266015559434891,1.72976716856507E-15,-0.0470808818936348,0.0719053521752358,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.2007,0.15,0.2,0.3,0.199340986161385,0.210629292646737,0.300538897968724,-0.149103916586708,-0.0317706009605758,-0.00186839124028756,0.817803502082825,0.293820589780807,1.19913196563721,-0.0285703931003809,0.917352497577667,0.825089931488037,0.09625044465065,-0.194692298769951,-0.236637085676193,1.72976716856507E-15,-0.0399474166333675,0.0719053521752358,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.3007,0.15,0.2,0.3,0.194883608396758,0.209674131372362,0.300435845399215,-0.134805740565512,-0.0290836534313917,0,0.826869308948517,0.276383072137833,1.17702734470367,-0.0285703931003809,0.913597404956818,0.832376301288605,0.087313637137413,-0.159184753894806,-0.203355178236961,1.72976716856507E-15,-0.0370940305292606,0.0684812888503075,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.4007,0.15,0.2,0.3,0.191031222774464,0.208814530939455,0.300412716006502,-0.124347351599152,-0.0265528561235575,0,0.834817290306091,0.261150628328323,1.15820729732513,-0.0285703931003809,0.910641312599182,0.839279234409332,0.0809448808431625,-0.152405098080635,-0.191062778234482,1.72976716856507E-15,-0.0299605615437031,0.075329415500164,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
2.5007,0.15,0.2,0.3,0.187253158966671,0.207947650019069,0.300459396261462,-0.111495737344382,-0.0234823704648115,0,0.842738389968872,0.246345803141594,1.14039194583893,-0.0285703931003809,0.909043431282043,0.844072937965393,0.0770414471626282,-0.136962577700615,-0.168429717421532,1.72976716856507E-15,-0.0114135472103953,0.0410887710750103,0,0,0,0,0,0,0,0,0,0,0,0,PD,0
