time,x_d,y_d,z_d,x,y,z,vx_cmd,vy_cmd,vz_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qref1,qref2,qref3,qref4,qref5,qref6,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,mode,perturbation
1.1254,0.15,0.2,0.3,0.22813557139892432,0.2194102268947533,0.3008128614774985,-0.22,-0.16498692860540307,-0.0036578766487434244,0.7705223560333252,0.4202033579349518,1.3644356727600098,-0.02876213937997818,0.9530654549598694,0.7846311926841736,-1.5860329632228476e-17,2.854859115425444e-15,-2.1252840152086606e-15,1.7367060624689742e-15,-2.3790492628545366e-16,-1.0467817391834671e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.2254,0.15,0.2,0.3,0.22813557139892432,0.2194102268947533,0.3008128614774985,-0.22,-0.06793579413163656,-0.0028450151712448857,0.7705223560333252,0.4202033579349518,1.3644356727600098,-0.02876213937997818,0.9530654549598694,0.7846311926841736,-1.5860329632228476e-17,2.854859115425444e-15,-2.1252840152086606e-15,1.7367060624689742e-15,-2.3790492628545366e-16,-1.0467817391834671e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.3254,0.15,0.2,0.3,0.2260548436236124,0.21775408849671068,0.3006455922200786,-0.22,-0.05385861774827422,-0.002092303512855137,0.7716920375823975,0.4005856513977051,1.337625503540039,-0.02895388752222061,0.9481119513511658,0.7846311926841736,0.02054438553750515,-0.30809730291366577,-0.4170852601528168,-0.0034240642562508583,-0.08845499157905579,-1.0467817391834671e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.4254,0.15,0.2,0.3,0.21837461234122185,0.2120932186987658,0.3008133051844421,-0.2009099867823238,-0.014021916455955796,-0.0030142811099109212,0.7770072817802429,0.3559199869632721,1.2794396877288818,-0.03067961521446705,0.932772159576416,0.7875074148178101,0.062044043093919754,-0.44153308868408203,-0.5753113031387329,-0.0410887710750103,-0.12269563227891922,0.05136096477508545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.5258,0.15,0.2,0.3,0.2122461728568045,0.21046758447069064,0.3006190712321506,-0.187219407576729,-0.028508374507041412,-0.0019725153602355994,0.788698136806488,0.3311691880226135,1.2467390298843384,-0.02895388752222061,0.9264605045318604,0.7986287474632263,0.13203191757202148,-0.23191186785697937,-0.30323514342308044,1.7401755094209278e-15,-0.06277450919151306,0.11984224617481232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.6254,0.15,0.2,0.3,0.20611751470646925,0.20942073673240114,0.30074981473606194,-0.1657680107209661,-0.027738339871956424,-0.002755095080128167,0.8003755807876587,0.3073042929172516,1.2165464162826538,-0.028378644958138466,0.9202286601066589,0.8084079027175903,0.10453668236732483,-0.22602248191833496,-0.2877925932407379,-0.0034240642562508583,-0.055641043931245804,0.10957005620002747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.7254,0.15,0.2,0.3,0.20040728200561617,0.20867476967218665,0.30064131956614215,-0.1478743235153912,-0.026631858551580803,-0.002136123311577781,0.8132284283638,0.28633859753608704,1.1901581287384033,-0.028570393100380898,0.9155148863792419,0.8199127316474915,0.1330249011516571,-0.20558081567287445,-0.2639611065387726,0.0034240642562508583,-0.04422749578952789,0.11984224617481232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.8254,0.15,0.2,0.3,0.19531821939227567,0.20790890372872703,0.30063817509790525,-0.1331684548062624,-0.02385183333324646,-0.002230468374431499,0.8233546018600464,0.2678963243961334,1.1672941446304321,-0.028570393100380898,0.9122391939163208,0.826815664768219,0.0904637798666954,-0.1736685335636139,-0.21499699354171753,1.7396797833885472e-15,-0.018547015264630318,0.07190535217523575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
1.9254,0.15,0.2,0.3,0.1908326123297856,0.20704923387359125,0.30057191511064507,-0.12048610784179925,-0.020373969281890475,-0.0019354428999976137,0.8330838680267334,0.2506793141365051,1.1460542678833008,-0.028570393100380898,0.9086439609527588,0.8364030122756958,0.0991266593337059,-0.17110049724578857,-0.21054571866989136,1.7396797833885472e-15,-0.03424064442515373,0.1027219295501709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
2.0255,0.15,0.2,0.3,0.18675302660486498,0.20626255374680214,0.30054498457258194,-0.10823766449242433,-0.01798553747986184,-0.0018805154659737033,0.8416780233383179,0.23582078516483307,1.128216028213501,-0.028570393100380898,0.9068063497543335,0.8417719602584839,0.08118456602096558,-0.1401127129793167,-0.16654647886753082,1.7396797833885472e-15,-0.01997370831668377,0.06848128885030746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PD,1
