time,x_d,y_d,z_d,x,y,z,vx_cmd,vy_cmd,vz_cmd,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qref1,qref2,qref3,qref4,qref5,qref6,cmd1,cmd2,cmd3,cmd4,cmd5,cmd6,mode,perturbation
2.8008,0.15,0.2,0.3,0.280749157932291,0.128586977013457,0.311261638523423,0,0,0,0.442779719829559,0.340706706047058,1.30270063877106,-0.0855194255709648,0.877085447311401,1.24827682971954,6.50273493414672E-16,4.55984474693181E-15,1.80807758800021E-15,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.442939827406572,0.340627032453023,1.30259066059931,-0.0854911624797395,0.877083198808712,1.24817076009642,0.0426790829793998,-0.019068742676919,-0.0248244011663847,0.00599478651045006,-0.000461615866477823,-0.0211983724817985,CTC,0
2.9009,0.15,0.2,0.3,0.280749157932291,0.128586977013457,0.311261638523423,0,0,0,0.442779719829559,0.340706706047058,1.30270063877106,-0.0855194255709648,0.877085447311401,1.24827682971954,6.50273493414672E-16,4.55984474693181E-15,1.80807758800021E-15,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.445500421356587,0.339352815912683,1.30083178418337,-0.0850391520143334,0.877047238596895,1.24647439293928,0.0864704264969269,-0.0322242195043654,-0.0370231498663583,0.00759793410062227,-0.000528224587332928,-0.0220410553121133,CTC,0
3.0007,0.15,0.2,0.3,0.28074225192008,0.128602054120421,0.311261638523423,0,0,0,0.442925453186035,0.340700954198837,1.30270063877106,-0.0855194255709648,0.877085447311401,1.24827682971954,0.00260228873230517,-0.000102721925941296,1.80807758800021E-15,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.450995250514292,0.336618449458742,1.29705737652493,-0.0840691738243567,0.876970070867742,1.24283412513455,0.144759506603796,-0.0505728367569975,-0.0546574847952909,0.0101590649242288,-0.000653588238379584,-0.024996547644939,CTC,0
3.1007,0.15,0.2,0.3,0.280321749482194,0.129199093786591,0.311275382990402,0,0,0,0.445483356714249,0.339941650629044,1.30181467533112,-0.0855194255709648,0.877085447311401,1.24827682971954,0.0287621393799782,-0.0104091549292207,-0.011949984356761,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.459224871624212,0.332523181117222,1.29140443554135,-0.082616434756537,0.876854496542385,1.23738208578778,0.202866413864722,-0.0747994496202069,-0.0818564936407598,0.0136105644074269,-0.00083355343155208,-0.0299151787722419,CTC,0
3.2007,0.15,0.2,0.3,0.279713222252557,0.12998400911307,0.311311437245367,0,0,0,0.448783338069916,0.338839083909988,1.30053579807282,-0.0855194255709648,0.877085447311401,1.24827682971954,0.0370826162397861,-0.0115048559382558,-0.0133538506925106,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.4699736938886,0.327174294341024,1.28402105092474,-0.0807189921127068,0.876703543313192,1.23026110158522,0.269492105320019,-0.0983428922997015,-0.106151001717857,0.0178756603258733,-0.00106356550453941,-0.036640699379108,CTC,0
3.3007,0.15,0.2,0.3,0.278677480235159,0.131357907371306,0.311392881383561,0,0,0,0.454457134008408,0.336954206228256,1.29849934577942,-0.0855194255709648,0.877085447311401,1.24827682971954,0.0600923262536526,-0.0208183098584414,-0.02174280770123,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.483023552861696,0.320680353295622,1.27505708021046,-0.0784153575095411,0.876520275016066,1.22161570422843,0.333527280139835,-0.125981326119998,-0.13651381008528,0.0228771002419952,-0.00133902555743814,-0.0450145456073388,CTC,0
3.4008,0.15,0.2,0.3,0.27734797660912,0.133029114405951,0.311511472679945,0,0,0,0.461503863334656,0.33441549539566,1.2957535982132,-0.0855194255709648,0.877085447311401,1.24827682971954,0.077144168317318,-0.0268446635454893,-0.0304056908935308,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.498168795283979,0.313143696262669,1.26465378697841,-0.0757418340186563,0.876307579783573,1.21158213688679,0.399753392778773,-0.15322011943186,-0.168641501324117,0.0285424495300427,-0.00165559903525881,-0.0548861349498829,CTC,0
3.5007,0.15,0.2,0.3,0.275560633678693,0.135220719666907,0.311615698366392,0,0,0,0.470631062984467,0.331196039915085,1.29216980934143,-0.0855194255709648,0.877165377140045,1.24827682971954,0.0906349793076515,-0.032836776226759,-0.0367059670388699,-9.37741917334E-16,0.00142669340129942,2.25216679785028E-15,0.51516182360854,0.304687534065816,1.25298124641209,-0.0727421289535104,0.876068934801241,1.20032443038867,0.462407254220124,-0.180751106973611,-0.200048552047818,0.0347837525289634,-0.000843949264180573,-0.0660773730577799,CTC,0
3.6008,0.15,0.2,0.3,0.273474765720375,0.137674384938815,0.311813262568833,0,0,0,0.481177181005478,0.327184677124023,1.28782474994659,-0.0855194255709648,0.877165377140045,1.24827682971954,0.112891398370266,-0.0408148467540741,-0.0481081046164036,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.533835228965121,0.295395173607934,1.24015445195421,-0.0694457942707337,0.87580669110893,1.18795349138889,0.52449716519491,-0.208616251651138,-0.23510840799161,0.0415425812014504,-0.00251281661212866,-0.078462894340105,CTC,0
3.7009,0.15,0.2,0.3,0.270813412784277,0.140691278247129,0.311995142503503,0,0,0,0.49421027302742,0.322143644094467,1.28233313560486,-0.0855194255709648,0.877165377140045,1.24827682971954,0.130593806505203,-0.0510527975857258,-0.0562573745846748,-9.37741917334E-16,-7.7715611723761E-16,2.25216679785028E-15,0.553963204606498,0.285378982057675,1.22632851065025,-0.0658926906490972,0.875524019868728,1.17461891453513,0.578242528443036,-0.235519744639251,-0.267182983786767,0.0487388435910617,-0.00292526431199459,-0.0918790379873608,CTC,0
